"name","h_fdr5_p05","h_fdr5_p95","blank1","h_fdr1_p05","h_fdr1_p95","blank2","bias_mean_p05","bias_mean_p95","blank3","fdrloc_mean_p05","fdrloc_mean_p95","nboot"
"baseline",0,3,NA,0,3.5,NA,8.87847669789216,27.9224198464745,NA,0.0600656987125853,22.6066966542976,1000
"raw-stair2",0,1.605,NA,0,2.405,NA,2.55422280089767,17.6506894821324,NA,0.134319570104452,4.63356775623876,500
"raw-stair2-restrict",0,2.4,NA,0,3.1,NA,7.83906848858283,22.5894611213288,NA,0.132462247062087,15.7459631291601,500
"pif_10",0.9,3,NA,1.9,3.5,NA,8.9613823119707,27.811093863173,NA,0.628846600820716,23.281736884411,500
"pif_20",1.495,3,NA,2.3,3.5,NA,9.22593110727945,26.6005650065661,NA,1.37734933080072,22.0467393333945,500
"pubpar_05",0,2.9,NA,0,3.4,NA,10.8541072313959,26.0932457767391,NA,0.0609481170249678,20.7488140175749,500
"relax_pubpar",0,3,NA,0,3.5,NA,6.86150964562446,26.8411477496666,NA,0.058787879628157,22.5736099388566,500
"logistic",0,2.7,NA,0,3.3,NA,6.6059773617639,21.2063868936471,NA,0.0610527026628282,17.0847492133728,500
"exp",0,2.9,NA,0.1,3.5,NA,11.2557846160167,28.7424982608191,NA,0.0742104902512806,19.6675778765676,500
"tdist",0,2.9,NA,0,3.5,NA,8.12131914319291,22.9295792000851,NA,0.071640497546819,20.8803161787019,500
"mix_norm",0,3,NA,0,3.5,NA,7.22473609733195,24.0960957473815,NA,0.0643226788044245,24.816827447874,500
